URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/de3300f6-e5f2-3371-812c-ed56de326b1d>	1014019.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev	2014-02-17T20:00	
				
<http://data.doremus.org/performance/93ce1e22-6aa5-307d-a729-c389971a5a33>	14208.ttl	Ensemble intercontemporain - Orchestre du Conservatoire de Paris - Matthias Pintscher	2015-02-03T20:30	Similarité :1.0
<http://data.doremus.org/performance/0ec1a7ed-c255-3da6-a989-d0aab9e9b6c7>	1030395.ttl	Ensemble intercontemporain, Orchestre du Conservatoire de Paris, Matthias Pintscher	2018-03-29T21:50	
				
<http://data.doremus.org/performance/0b0322cb-7ba3-3cd2-b20d-6ce024614d2a>	13135.ttl	Ensemble intercontemporain - Matthias Pintscher	2013-11-08T20:00	Similarité :1.0
<http://data.doremus.org/performance/1d0a435f-0640-3f88-88e2-76c63dd79fa4>	1023309.ttl	Ensemble intercontemporain, Matthias Pintscher	2014-10-17T20:00	
				
<http://data.doremus.org/performance/f2e0782b-5ed6-33ea-b37f-935135ccac08>	15170.ttl	London Symphony Orchestra	2015-10-17T20:30	Similarité :1.0
<http://data.doremus.org/performance/3d25a05c-b9be-3da5-b6bf-72db19b529e9>	0960360.ttl	London Symphony Orchestra	2011-03-28T20:00	
				
<http://data.doremus.org/performance/da693a02-366f-3833-864d-7c46155c3c5d>	13305.ttl	Antonio Meneses - Maria-João Pires	2013-11-18T20:00	Similarité :1.0
<http://data.doremus.org/performance/669d1534-f108-3201-bef1-d6913337543e>	1011607.ttl	Antonio Meneses, Maria Joao Pires	2018-03-29T21:51	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :1.0
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>	1062228.ttl	Les Dissonances, David Grimal	2017-01-30T20:30	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :1.0
