URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/f321e87e-ff53-3277-bf08-839f33050477>	1051668.ttl	La Force du Destin. Les Dissonances, David Grimal	2016-05-30T20:30	
				
<http://data.doremus.org/performance/08737546-a99f-3498-8544-fbefd90948c4>	15331.ttl	La Force du Destin	2016-05-30T20:30	Similarité :0.3315
<http://data.doremus.org/performance/136637ff-fb91-3a02-9a9a-0a470eea8a62>	0909021.ttl	Domaine privé Marianne Faithfull	2016-05-30T20:30	
				
<http://data.doremus.org/performance/08737546-a99f-3498-8544-fbefd90948c4>	15331.ttl	La Force du Destin	2016-05-30T20:30	Similarité :0.36
<http://data.doremus.org/performance/8916af27-d3ef-3cd7-9686-5ffaf50a3d73>	0241475.ttl	Figures de la passion. François Couperin : Office des Ténèbres du mercredi saint, leçons et plain-chant	2016-05-30T20:30	
				
<http://data.doremus.org/performance/f40d2aa4-692b-3c9d-935a-b8e3635cb446>	16996.ttl	Youssou Ndour et le Super étoile	2016-11-15T20:30	Similarité :0.354
<http://data.doremus.org/performance/bbbf0b60-5c65-3e38-b301-edeb7c413912>	1059032.ttl	Mécaniques célestes. Ensemble intercontemporain	2016-11-15T20:30	
				
<http://data.doremus.org/performance/f85a4a97-594b-3061-96e8-7cd2d9e0c6b0>	13342.ttl	Orchestre de Paris - Christoph von Dohnányi - Martin Helmchen	2014-01-16T20:00	Similarité :0.364
<http://data.doremus.org/performance/1f331cd5-0328-3ab0-b4c2-5c14f3173ae2>	1012675.ttl	Intervalle. Paul Agnew, madrigaux livre VI	2014-01-16T20:00	
				
<http://data.doremus.org/performance/cd831281-5ed7-3786-8fb8-983fe878bf0d>	15481.ttl	Ludovico Einaudi	2016-01-30T20:30	Similarité :0.3255
<http://data.doremus.org/performance/168c0e69-47ed-3d1d-b23d-1b58b1ac97d9>	1049601.ttl	Week-end Stockhausen. Gruppen. Ensemble intercontemporain, Orchestre du Conservatoire de Paris	2016-01-30T20:30	
				
<http://data.doremus.org/performance/2732d535-6782-3a78-843c-887eac5c83f2>	15550.ttl	Ibrahim Maalouf	2015-12-13T16:30	Similarité :0.4565
<http://data.doremus.org/performance/a2d3f57e-626c-3a67-b82e-24c81195b4de>	1043878.ttl	Week-end A Oum Kalthoum. Ibrahim Maalouf	2015-12-13T16:30	
				
<http://data.doremus.org/performance/ae4a96aa-d0f2-36d5-a5d5-ff0b7d899d5c>	16600.ttl	Ibn Battuta, Le voyageur du temps partie 2	2016-11-04T20:30	Similarité :0.5955
<http://data.doremus.org/performance/71093560-3960-3434-bd25-52272e6fee2c>	1058633.ttl	Ibn Battuta de Damas en Chine. Hespèrion XXI, Jordi Savall	2016-11-04T20:30	
				
<http://data.doremus.org/performance/b0b3a38f-bb84-3ef6-b09b-f935af1b754b>	14059.ttl	Ouvrez !!!	2015-01-17T18:30	Similarité :0.357
